window,metric,valid_samples,mean,median,win_rate,std,best,worst,max_drawdown,max_consecutive_failures,ci_low,ci_high,effect_size,significance,trading_meaning
120,159567绝对收益,120,-0.00196770,-0.00500048,0.39166667,0.02155074,0.07304117,-0.04981320,-0.30650888,7,-0.00582362,0.00188822,-0.09130537,not_significant,实际交易意义不足
120,159567相对159557超额,120,-0.00004399,-0.00017075,0.49166667,0.00857970,0.04044804,-0.05532130,-0.06226925,4,-0.00157909,0.00149111,-0.00512706,not_significant,实际交易意义不足
120,159567相对TECH_GROWTH_CORE超额,120,-0.00552873,-0.00475202,0.40000000,0.02694881,0.09258512,-0.07045144,-0.53883494,7,-0.01035048,-0.00070697,-0.20515664,significant,实际交易意义不足
120,159567相对AI_CORE超额,120,-0.00492540,-0.00524152,0.35000000,0.03737833,0.30833982,-0.07059397,-0.56967949,9,-0.01161323,0.00176243,-0.13177156,not_significant,实际交易意义不足
120,589720绝对收益,120,-0.00092587,-0.00338990,0.41666667,0.02116402,0.07420091,-0.04457831,-0.26992032,6,-0.00471259,0.00286086,-0.04374716,not_significant,实际交易意义不足
120,589720相对医疗宽基超额,120,0.00008434,-0.00088978,0.45833333,0.01515711,0.04086758,-0.03613140,-0.13612479,6,-0.00262761,0.00279629,0.00556462,not_significant,实际交易意义不足
120,S1后续变化,120,0.00240000,0.00000000,0.32500000,0.06116549,0.18000000,-0.17400000,-0.34958069,11,-0.00854389,0.01334389,0.03923781,not_significant,实际交易意义不足
120,创新药量能变化,0,,,,,,,,,,,,not_significant,missing
120,创新药广度变化,120,0.34888889,0.30000000,0.98333333,0.21515562,0.80000000,0.00000000,0.00000000,1,0.31039266,0.38738511,1.62156534,significant,可能具有实际交易意义
250,159567绝对收益,211,-0.00194441,-0.00438596,0.41706161,0.02116945,0.07304117,-0.04981320,-0.42773438,7,-0.00480084,0.00091203,-0.09184962,not_significant,实际交易意义不足
250,159567相对159557超额,211,-0.00035466,-0.00069936,0.46445498,0.00765222,0.04044804,-0.05532130,-0.11807434,6,-0.00138719,0.00067787,-0.04634755,not_significant,实际交易意义不足
250,159567相对TECH_GROWTH_CORE超额,211,-0.00513432,-0.00424591,0.40758294,0.02662362,0.09258512,-0.08443412,-0.69279060,9,-0.00872669,-0.00154194,-0.19284817,significant,实际交易意义不足
250,159567相对AI_CORE超额,211,-0.00472497,-0.00529280,0.35071090,0.03194347,0.30833982,-0.07059397,-0.67778554,10,-0.00903517,-0.00041477,-0.14791662,significant,实际交易意义不足
250,589720绝对收益,211,-0.00093012,-0.00362757,0.41706161,0.02081199,0.07420091,-0.04557641,-0.34611954,6,-0.00373832,0.00187808,-0.04469150,not_significant,实际交易意义不足
250,589720相对医疗宽基超额,211,0.00000127,-0.00092593,0.45971564,0.01529918,0.06449373,-0.05392472,-0.19403602,6,-0.00206308,0.00206562,0.00008314,not_significant,实际交易意义不足
250,S1后续变化,174,0.00141379,0.00000000,0.29310345,0.05556937,0.18000000,-0.17400000,-0.34958069,11,-0.00684311,0.00967069,0.02544195,not_significant,实际交易意义不足
250,创新药量能变化,0,,,,,,,,,,,,not_significant,missing
250,创新药广度变化,175,0.31314286,0.26666667,0.98285714,0.19865117,0.80000000,0.00000000,0.00000000,1,0.28371029,0.34257543,1.57634538,significant,可能具有实际交易意义
